hcp_id,first_name,last_name,specialty,segment,territory,city,state,practice_type,account_tenure,opt_out_flag,channel_preference,interaction_count_digital_ad,interaction_count_email,interaction_count_phone_call,interaction_count_rep_visit,interaction_count_webinar,success_rate_digital_ad,success_rate_email,success_rate_phone_call,success_rate_rep_visit,success_rate_webinar,recency_days_digital_ad,recency_days_email,recency_days_phone_call,recency_days_rep_visit,recency_days_webinar,frequency_score_rep_visit,recency_score_rep_visit,channel_score_rep_visit,frequency_score_phone_call,recency_score_phone_call,channel_score_phone_call,frequency_score_webinar,recency_score_webinar,channel_score_webinar,frequency_score_email,recency_score_email,channel_score_email,frequency_score_digital_ad,recency_score_digital_ad,channel_score_digital_ad,arbitrary_weighted_score,entropy_weighted_score,arbitrary_weighted_rank,entropy_weighted_rank,score_difference_entropy_minus_arbitrary,recommended_channel,engagement_eligible
1,Danielle,Johnson,endocrinology,medium_value,TERR_19,Nashville,TN,hospital,0.5,False,Digital-Heavy,1.0,10.0,4.0,3.0,5.0,0.0,0.2,0.0,0.0,0.4,53.0,92.0,78.0,18.0,7.0,0.17647058823529413,0.625,0.17794117647058824,0.25,0.2777777777777778,0.13055555555555556,0.5,0.8108108108108107,0.5121621621621621,0.5882352941176471,0.24590163934426232,0.3256509161041466,0.0625,0.3614457831325301,0.09103915662650602,24.44,23.34,359,369,-1.1,webinar,True
2,Joshua,Walker,cardiology,low_value,TERR_40,Detroit,MI,private_practice,3.3,False,In-Person-Heavy,2.0,3.0,3.0,1.0,2.0,0.0,0.0,0.3333333333333333,0.0,0.0,163.0,116.0,95.0,198.0,221.0,0.058823529411764705,0.13157894736842105,0.04396284829721362,0.1875,0.24000000000000005,0.2709166666666667,0.2,0.1195219123505976,0.08390438247011953,0.17647058823529413,0.2054794520547945,0.09403706688154714,0.125,0.15544041450777202,0.06858808290155441,10.85,10.61,491,493,-0.24,phone_call,True
3,Jill,Rhodes,cardiology,medium_value,TERR_21,Tucson,AZ,private_practice,0.8,False,Mixed,15.0,7.0,3.0,2.0,3.0,0.0,0.0,0.0,0.5,0.0,8.0,123.0,22.0,44.0,79.0,0.11764705882352941,0.4054054054054054,0.3663751987281399,0.1875,0.5769230769230769,0.17163461538461539,0.3,0.27522935779816515,0.14504587155963303,0.4117647058823529,0.19607843137254904,0.1627450980392157,0.9375,0.7894736842105263,0.4391447368421053,26.35,27.35,326,274,1.0,digital_ad,True
4,Patricia,Miller,endocrinology,high_value,TERR_25,Arlington,TX,clinic,5.6,False,Digital-Heavy,3.0,6.0,7.0,2.0,8.0,0.0,0.5,0.2857142857142857,0.5,0.375,15.0,58.0,1.0,72.0,25.0,0.11764705882352941,0.29411764705882354,0.34411764705882353,0.4375,0.9677419354838709,0.46765552995391707,0.8,0.5454545454545454,0.5365909090909091,0.35294117647058826,0.3409090909090909,0.42406417112299466,0.1875,0.6666666666666666,0.18958333333333333,39.61,37.42,102,62,-2.19,webinar,True
5,Robert,Johnson,cardiology,low_value,TERR_47,Oakland,CA,hospital,2.7,False,Mixed,1.0,2.0,8.0,12.0,3.0,0.0,0.5,0.25,0.6666666666666666,1.0,317.0,148.0,31.0,0.0,128.0,0.7058823529411765,1.0,0.7450980392156863,0.5,0.49180327868852464,0.37336065573770494,0.3,0.189873417721519,0.6279746835443037,0.11764705882352941,0.16853932584269662,0.3190019828155981,0.0625,0.08645533141210375,0.03604106628242075,47.71,39.41,12,38,-8.3,rep_visit,True
6,Jeffery,Wagner,endocrinology,low_value,TERR_07,Boston,MA,clinic,1.7,False,Digital-Heavy,0.0,1.0,5.0,5.0,3.0,0.0,0.0,0.2,0.4,0.0,,81.0,50.0,37.0,193.0,0.29411764705882354,0.44776119402985076,0.3777875329236172,0.3125,0.37499999999999994,0.26875,0.3,0.13452914798206278,0.11690582959641255,0.058823529411764705,0.27027027027027023,0.07170111287758346,0.0,0.0,0.0,20.12,15.68,420,463,-4.44,rep_visit,True
7,Anthony,Gonzalez,primary_care,high_value,TERR_20,Memphis,TN,private_practice,0.7,False,Mixed,2.0,2.0,9.0,16.0,4.0,0.0,0.0,0.2222222222222222,0.75,0.5,163.0,94.0,29.0,38.0,112.0,0.9411764705882353,0.4411764705882353,0.7455882352941177,0.5625,0.5084745762711864,0.3815560263653484,0.4,0.2112676056338028,0.41225352112676056,0.11764705882352941,0.24193548387096778,0.08368121442125238,0.125,0.15544041450777202,0.06858808290155441,40.53,32.07,84,171,-8.46,rep_visit,True
8,Debra,Gardner,endocrinology,high_value,TERR_47,Sacramento,CA,private_practice,2.4,False,Mixed,6.0,11.0,5.0,1.0,4.0,0.16666666666666666,0.2727272727272727,0.0,1.0,0.0,92.0,18.0,43.0,273.0,126.0,0.058823529411764705,0.09900990099009901,0.5374490390215493,0.3125,0.410958904109589,0.1759417808219178,0.4,0.1923076923076923,0.15846153846153846,0.6470588235294118,0.625,0.45548128342245986,0.375,0.24590163934426232,0.24501366120218576,33.32,31.94,205,173,-1.38,rep_visit,True
9,Jeffrey,Lawrence,primary_care,high_value,TERR_42,Houston,TX,private_practice,3.1,False,Digital-Heavy,9.0,7.0,6.0,4.0,3.0,0.0,0.7142857142857143,0.16666666666666666,0.75,0.0,15.0,57.0,1.0,158.0,144.0,0.23529411764705882,0.1595744680851064,0.4775031289111389,0.375,0.9677419354838709,0.3893817204301075,0.3,0.1724137931034483,0.12448275862068967,0.4117647058823529,0.3448275862068966,0.5496377861489423,0.5625,0.6666666666666666,0.3020833333333333,37.38,37.17,137,65,-0.21,email,True
10,Lisa,Smith,dermatology,low_value,TERR_34,San Jose,CA,hospital,0.5,False,In-Person-Heavy,1.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,64.0,3.0,115.0,14.0,58.0,0.11764705882352941,0.6818181818181818,0.6716577540106952,0.1875,0.2068965517241379,0.09762931034482758,0.1,0.3409090909090909,0.09818181818181818,0.29411764705882354,0.9090909090909091,0.2700534759358289,0.0625,0.3191489361702128,0.08257978723404256,29.36,24.42,268,342,-4.94,rep_visit,True
11,Linda,Wolfe,endocrinology,low_value,TERR_16,Minneapolis,MN,clinic,1.1,True,Digital-Heavy,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.75,0.0,262.0,,,190.0,22.0,0.23529411764705882,0.13636363636363638,0.4728609625668449,0.0,0.0,0.0,0.4,0.5769230769230769,0.23538461538461536,0.0,0.0,0.0,0.0625,0.10273972602739727,0.039297945205479454,19.48,14.56,430,471,-4.92,Do Not Contact,False
12,Matthew,Moore,oncology,medium_value,TERR_25,Minneapolis,MN,cancer_center,2.3,False,Mixed,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,129.0,15.0,38.0,,,0.0,0.0,0.0,0.125,0.4411764705882353,0.37573529411764706,0.0,0.0,0.0,0.23529411764705882,0.6666666666666666,0.20392156862745098,0.25,0.18867924528301888,0.11273584905660378,12.26,13.43,486,477,1.17,phone_call,True
13,Susan,Rogers,primary_care,high_value,TERR_01,Oakland,CA,private_practice,4.4,False,In-Person-Heavy,11.0,9.0,4.0,2.0,6.0,0.2727272727272727,0.3333333333333333,0.0,0.5,0.16666666666666666,29.0,14.0,142.0,35.0,23.0,0.11764705882352941,0.46153846153846145,0.3776018099547511,0.25,0.1744186046511628,0.10988372093023255,0.6,0.5660377358490566,0.3765408805031446,0.5294117647058824,0.6818181818181818,0.4618538324420677,0.6875,0.5084745762711864,0.44430855161787364,34.65,36.52,188,81,1.87,email,True
14,Christopher,Davis,cardiology,low_value,TERR_35,Tucson,AZ,private_practice,1.0,False,In-Person-Heavy,0.0,3.0,5.0,6.0,2.0,0.0,0.0,0.0,0.3333333333333333,0.0,,15.0,52.0,11.0,234.0,0.35294117647058826,0.7317073170731707,0.4188904830224772,0.3125,0.36585365853658536,0.16692073170731708,0.2,0.11363636363636363,0.08272727272727273,0.17647058823529413,0.6666666666666666,0.18627450980392157,0.0,0.0,0.0,20.35,16.45,417,453,-3.9,rep_visit,True
15,Melanie,Munoz,cardiology,low_value,TERR_48,Nashville,TN,private_practice,0.5,False,Digital-Heavy,0.0,2.0,4.0,11.0,1.0,0.0,0.0,0.0,0.09090909090909091,0.0,,60.0,157.0,44.0,163.0,0.6470588235294118,0.4054054054054054,0.32065327359445006,0.25,0.16042780748663102,0.1070855614973262,0.1,0.15544041450777202,0.0610880829015544,0.11764705882352941,0.3333333333333333,0.10196078431372549,0.0,0.0,0.0,14.51,11.39,474,489,-3.12,rep_visit,True
16,Lindsay,Blair,dermatology,high_value,TERR_27,Sacramento,CA,clinic,4.4,False,Digital-Heavy,0.0,2.0,9.0,13.0,3.0,0.0,0.0,0.6666666666666666,0.6153846153846154,0.0,,130.0,57.0,2.0,74.0,0.7647058823529411,0.9375,0.72460407239819,0.5625,0.3448275862068966,0.5710488505747127,0.3,0.28846153846153844,0.14769230769230768,0.11764705882352941,0.1875,0.07279411764705883,0.0,0.0,0.0,37.2,28.44,140,251,-8.76,rep_visit,True
17,Amanda,Dudley,primary_care,medium_value,TERR_14,Colorado Springs,CO,private_practice,1.6,False,Digital-Heavy,1.0,3.0,5.0,2.0,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,165.0,106.0,14.0,112.0,263.0,0.11764705882352941,0.2112676056338028,0.5775476387738194,0.3125,0.6818181818181818,0.23011363636363635,0.1,0.10238907849829351,0.5504778156996587,0.17647058823529413,0.22058823529411764,0.26372549019607844,0.0625,0.15384615384615385,0.049519230769230774,37.64,31.49,130,184,-6.15,rep_visit,True
18,Nicholas,Arnold,cardiology,medium_value,TERR_42,Fort Worth,TX,hospital,3.9,False,Digital-Heavy,2.0,5.0,8.0,9.0,3.0,0.0,0.2,0.5,0.8888888888888888,0.6666666666666666,51.0,59.0,31.0,17.0,36.0,0.5294117647058824,0.6382978723404256,0.7309275483242943,0.5,0.49180327868852464,0.49836065573770494,0.3,0.45454545454545453,0.5142424242424243,0.29411764705882354,0.33707865168539325,0.2556510244547257,0.125,0.37037037037037035,0.11157407407407408,47.69,40.04,13,32,-7.65,rep_visit,True
19,Maria,Montgomery,cardiology,low_value,TERR_30,Mesa,AZ,private_practice,2.9,False,In-Person-Heavy,5.0,1.0,5.0,3.0,3.0,0.2,1.0,0.0,0.6666666666666666,0.0,31.0,121.0,18.0,88.0,108.0,0.17647058823529413,0.2542372881355932,0.43712196743104015,0.3125,0.625,0.21875,0.3,0.2173913043478261,0.1334782608695652,0.058823529411764705,0.19867549668874174,0.5573821581612778,0.3125,0.49180327868852464,0.29211065573770495,32.9,33.47,218,151,0.57,email,True
20,Michelle,Ray,dermatology,medium_value,TERR_13,Albuquerque,NM,clinic,0.5,True,Mixed,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.875,0.0,17.0,,,39.0,52.0,0.47058823529411764,0.4347826086956522,0.6656329923273657,0.0,0.0,0.0,0.1,0.36585365853658536,0.10317073170731707,0.0,0.0,0.0,0.0625,0.6382978723404256,0.1464095744680851,24.23,18.98,364,427,-5.25,Do Not Contact,False
21,Janet,Williams,cardiology,medium_value,TERR_06,Memphis,TN,hospital,0.5,False,In-Person-Heavy,4.0,6.0,7.0,5.0,4.0,0.0,0.16666666666666666,0.42857142857142855,0.6,0.5,1.0,9.0,46.0,95.0,15.0,0.29411764705882354,0.24000000000000005,0.43623529411764705,0.4375,0.39473684210526316,0.42448308270676693,0.4,0.6666666666666666,0.5033333333333333,0.35294117647058826,0.7692307692307692,0.34306184012066365,0.25,0.9677419354838709,0.2685483870967742,40.82,38.39,80,50,-2.43,webinar,True
22,Jeremy,Roberts,endocrinology,medium_value,TERR_11,Memphis,TN,private_practice,4.1,False,In-Person-Heavy,0.0,2.0,6.0,9.0,3.0,0.0,0.0,0.5,0.7777777777777778,0.3333333333333333,,9.0,84.0,50.0,196.0,0.5294117647058824,0.37499999999999994,0.6227124183006536,0.375,0.2631578947368421,0.4151315789473684,0.3,0.13274336283185842,0.2832153392330383,0.11764705882352941,0.7692307692307692,0.18914027149321266,0.0,0.0,0.0,35.49,28.31,176,253,-7.18,rep_visit,True
23,Christopher,Hall,primary_care,medium_value,TERR_13,Raleigh,NC,private_practice,3.7,False,Mixed,2.0,5.0,3.0,10.0,2.0,0.0,0.6,0.0,0.8,0.5,1.0,10.0,155.0,36.0,28.0,0.5882352941176471,0.45454545454545453,0.6673796791443851,0.1875,0.16216216216216214,0.08868243243243243,0.2,0.5172413793103449,0.413448275862069,0.29411764705882354,0.75,0.5382352941176471,0.125,0.9677419354838709,0.2310483870967742,41.6,38.68,72,45,-2.92,rep_visit,True
24,Craig,Ramirez,cardiology,low_value,TERR_09,Mesa,AZ,private_practice,0.6,False,Mixed,2.0,5.0,4.0,2.0,0.0,0.0,0.0,0.25,0.5,0.0,226.0,56.0,37.0,127.0,,0.11764705882352941,0.19108280254777069,0.32351067815661294,0.25,0.44776119402985076,0.28955223880597014,0.0,0.0,0.0,0.29411764705882354,0.3488372093023256,0.15800273597811218,0.125,0.1171875,0.0609375,18.78,16.24,436,455,-2.54,rep_visit,True
25,Cynthia,Diaz,primary_care,medium_value,TERR_32,Detroit,MI,private_practice,2.6,False,Mixed,1.0,3.0,9.0,6.0,1.0,0.0,0.6666666666666666,0.0,1.0,1.0,263.0,134.0,2.0,80.0,315.0,0.35294117647058826,0.27272727272727276,0.660427807486631,0.5625,0.9375,0.35624999999999996,0.1,0.08695652173913043,0.5473913043478261,0.17647058823529413,0.18292682926829268,0.42285987565758004,0.0625,0.10238907849829351,0.039227815699658705,44.82,38.19,33,53,-6.63,rep_visit,True
26,Mitchell,Clark,primary_care,medium_value,TERR_12,Colorado Springs,CO,private_practice,5.3,False,In-Person-Heavy,11.0,11.0,0.0,2.0,3.0,0.0,0.09090909090909091,0.0,0.5,0.3333333333333333,101.0,8.0,,4.0,60.0,0.11764705882352941,0.8823529411764706,0.46176470588235297,0.0,0.0,0.0,0.3,0.3333333333333333,0.3233333333333333,0.6470588235294118,0.7894736842105263,0.39746692935547423,0.6875,0.22900763358778622,0.25205152671755726,30.06,29.2,258,232,-0.86,rep_visit,True
27,Joseph,Zuniga,oncology,medium_value,TERR_23,Mesa,AZ,cancer_center,4.4,False,Digital-Heavy,1.0,2.0,8.0,3.0,2.0,0.0,0.0,0.25,0.3333333333333333,0.0,273.0,88.0,9.0,2.0,98.0,0.17647058823529413,0.9375,0.4071078431372549,0.5,0.7692307692307692,0.4288461538461539,0.2,0.234375,0.106875,0.11764705882352941,0.2542372881355932,0.08614157527417747,0.0625,0.09900990099009901,0.03855198019801981,24.8,20.14,354,415,-4.66,phone_call,True
28,Deborah,Lynch,primary_care,low_value,TERR_44,Portland,OR,clinic,3.3,False,Digital-Heavy,6.0,3.0,3.0,4.0,0.0,0.16666666666666666,0.0,0.0,1.0,0.0,38.0,65.0,7.0,51.0,,0.23529411764705882,0.37037037037037035,0.6446623093681917,0.1875,0.8108108108108107,0.21841216216216217,0.0,0.0,0.0,0.17647058823529413,0.31578947368421056,0.11609907120743035,0.375,0.4411764705882353,0.2840686274509804,29.71,26.42,262,295,-3.29,rep_visit,True
29,George,Daniel,endocrinology,low_value,TERR_05,Fresno,CA,private_practice,3.9,True,Mixed,2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.16666666666666666,0.0,18.0,,,64.0,122.0,0.35294117647058826,0.3191489361702128,0.25304547350855233,0.0,0.0,0.0,0.2,0.19736842105263158,0.09947368421052633,0.0,0.0,0.0,0.125,0.625,0.1625,12.02,10.98,489,490,-1.04,Do Not Contact,False
30,Frank,Gray,cardiology,medium_value,TERR_09,Philadelphia,PA,clinic,0.7,False,Digital-Heavy,2.0,0.0,6.0,11.0,7.0,0.0,0.0,0.3333333333333333,0.6363636363636364,0.8571428571428571,4.0,,60.0,22.0,44.0,0.6470588235294118,0.5769230769230769,0.6276840806252572,0.375,0.3333333333333333,0.3458333333333333,0.7,0.4054054054054054,0.7196525096525097,0.0,0.0,0.0,0.125,0.8823529411764706,0.21397058823529413,43.35,36.35,47,87,-7.0,webinar,True
