hcp_id,first_name,last_name,specialty,segment,territory,city,state,practice_type,account_tenure,opt_out_flag,channel_preference,interaction_count_digital_ad,interaction_count_email,interaction_count_phone_call,interaction_count_rep_visit,interaction_count_webinar,success_rate_digital_ad,success_rate_email,success_rate_phone_call,success_rate_rep_visit,success_rate_webinar,recency_days_digital_ad,recency_days_email,recency_days_phone_call,recency_days_rep_visit,recency_days_webinar,frequency_score_rep_visit,recency_score_rep_visit,success_score_rep_visit,frequency_score_phone_call,recency_score_phone_call,success_score_phone_call,frequency_score_webinar,recency_score_webinar,success_score_webinar,frequency_score_email,recency_score_email,success_score_email,frequency_score_digital_ad,recency_score_digital_ad,success_score_digital_ad,entropy_channel_score_rep_visit,entropy_channel_score_phone_call,entropy_channel_score_webinar,entropy_channel_score_email,entropy_channel_score_digital_ad,entropy_weighted_score,entropy_weighted_rank,recommended_channel,engagement_eligible,ml_primary_channel,ml_primary_probability
1,Danielle,Johnson,endocrinology,medium_value,TERR_19,Nashville,TN,hospital,0.5,False,Digital-Heavy,1.0,10.0,4.0,3.0,5.0,0.0,0.2,0.0,0.0,0.4,53.0,92.0,78.0,18.0,7.0,0.17647058823529413,0.625,0.0,0.25,0.2777777777777778,0.0,0.5,0.8108108108108107,0.4,0.5882352941176471,0.24590163934426232,0.2,0.0625,0.3614457831325301,0.0,0.16558118819194773,0.10928783657914762,0.5055084652053615,0.29023958613116585,0.08752800962664069,22.24,373,webinar,True,rep_visit,0.2924
2,Joshua,Walker,cardiology,low_value,TERR_40,Detroit,MI,private_practice,3.3,False,In-Person-Heavy,2.0,3.0,3.0,1.0,2.0,0.0,0.0,0.3333333333333333,0.0,0.0,163.0,116.0,95.0,198.0,221.0,0.058823529411764705,0.13157894736842105,0.0,0.1875,0.24000000000000005,0.3333333333333333,0.2,0.1195219123505976,0.0,0.17647058823529413,0.2054794520547945,0.0,0.125,0.15544041450777202,0.0,0.039368190867701804,0.28374771070600513,0.06625509223018161,0.07908269677665968,0.058056580681600134,9.93,491,phone_call,True,rep_visit,0.2751
3,Jill,Rhodes,cardiology,medium_value,TERR_21,Tucson,AZ,private_practice,0.8,False,Mixed,15.0,7.0,3.0,2.0,3.0,0.0,0.0,0.0,0.5,0.0,8.0,123.0,22.0,44.0,79.0,0.11764705882352941,0.4054054054054054,0.5,0.1875,0.5769230769230769,0.0,0.3,0.27522935779816515,0.0,0.4117647058823529,0.19607843137254904,0.0,0.9375,0.7894736842105263,0.0,0.4009445674596042,0.1579632437798702,0.11916528455722471,0.12609914021436427,0.35783118914592865,24.23,329,rep_visit,True,rep_visit,0.3912
4,Patricia,Miller,endocrinology,high_value,TERR_25,Arlington,TX,clinic,5.6,False,Digital-Heavy,3.0,6.0,7.0,2.0,8.0,0.0,0.5,0.2857142857142857,0.5,0.375,15.0,58.0,1.0,72.0,25.0,0.11764705882352941,0.29411764705882354,0.5,0.4375,0.9677419354838709,0.2857142857142857,0.8,0.5454545454545454,0.375,0.35294117647058826,0.3409090909090909,0.5,0.1875,0.6666666666666666,0.0,0.37799879458359775,0.45791779046089276,0.4985696074979902,0.4366012340703071,0.17646695036834206,37.41,67,webinar,True,rep_visit,0.2301
5,Robert,Johnson,cardiology,low_value,TERR_47,Oakland,CA,hospital,2.7,False,Mixed,1.0,2.0,8.0,12.0,3.0,0.0,0.5,0.25,0.6666666666666666,1.0,317.0,148.0,31.0,0.0,128.0,0.7058823529411765,1.0,0.6666666666666666,0.5,0.49180327868852464,0.25,0.3,0.189873417721519,1.0,0.11764705882352941,0.16853932584269662,0.5,0.0625,0.08645533141210375,0.0,0.7435538505398995,0.35187046473435424,0.6873242465235908,0.3521065340188585,0.03082933457024687,40.66,32,rep_visit,True,rep_visit,0.4454
6,Jeffery,Wagner,endocrinology,low_value,TERR_07,Boston,MA,clinic,1.7,False,Digital-Heavy,0.0,1.0,5.0,5.0,3.0,0.0,0.0,0.2,0.4,0.0,,81.0,50.0,37.0,193.0,0.29411764705882354,0.44776119402985076,0.4,0.3125,0.37499999999999994,0.2,0.3,0.13452914798206278,0.0,0.058823529411764705,0.27027027027027023,0.0,0.0,0.0,0.0,0.3878179483881157,0.2594887344170507,0.09015513010706186,0.06796414465866474,0.0,14.95,462,rep_visit,True,rep_visit,0.7176
7,Anthony,Gonzalez,primary_care,high_value,TERR_20,Memphis,TN,private_practice,0.7,False,Mixed,2.0,2.0,9.0,16.0,4.0,0.0,0.0,0.2222222222222222,0.75,0.5,163.0,94.0,29.0,38.0,112.0,0.9411764705882353,0.4411764705882353,0.75,0.5625,0.5084745762711864,0.2222222222222222,0.4,0.2112676056338028,0.5,0.11764705882352941,0.24193548387096778,0.0,0.125,0.15544041450777202,0.0,0.7261012430669772,0.35204038128282233,0.41966217043703274,0.0743606567963398,0.058056580681600134,30.67,190,rep_visit,True,rep_visit,0.5777
8,Debra,Gardner,endocrinology,high_value,TERR_47,Sacramento,CA,private_practice,2.4,False,Mixed,6.0,11.0,5.0,1.0,4.0,0.16666666666666666,0.2727272727272727,0.0,1.0,0.0,92.0,18.0,43.0,273.0,126.0,0.058823529411764705,0.09900990099009901,1.0,0.3125,0.410958904109589,0.0,0.4,0.1923076923076923,0.0,0.6470588235294118,0.625,0.2727272727272727,0.375,0.24590163934426232,0.16666666666666666,0.6184109741242723,0.14975128988453384,0.12287393430188186,0.4232429412553722,0.22634904541794895,30.85,187,rep_visit,True,rep_visit,0.3333
9,Jeffrey,Lawrence,primary_care,high_value,TERR_42,Houston,TX,private_practice,3.1,False,Digital-Heavy,9.0,7.0,6.0,4.0,3.0,0.0,0.7142857142857143,0.16666666666666666,0.75,0.0,15.0,57.0,1.0,158.0,144.0,0.23529411764705882,0.1595744680851064,0.75,0.375,0.9677419354838709,0.16666666666666666,0.3,0.1724137931034483,0.0,0.4117647058823529,0.3448275862068966,0.7142857142857143,0.5625,0.6666666666666666,0.0,0.5211750160258408,0.3751810799026963,0.09796634380530343,0.5751674344090641,0.2544886389334441,36.15,88,email,True,rep_visit,0.2269
10,Lisa,Smith,dermatology,low_value,TERR_34,San Jose,CA,hospital,0.5,False,In-Person-Heavy,1.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,64.0,3.0,115.0,14.0,58.0,0.11764705882352941,0.6818181818181818,1.0,0.1875,0.2068965517241379,0.0,0.1,0.3409090909090909,0.0,0.29411764705882354,0.9090909090909091,0.0,0.0625,0.3191489361702128,0.0,0.7508155056855522,0.08166963582641719,0.09109583786577642,0.24863362588997337,0.07880706980192054,24.43,327,rep_visit,True,rep_visit,0.2566
11,Linda,Wolfe,endocrinology,low_value,TERR_16,Minneapolis,MN,clinic,1.1,True,Digital-Heavy,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.75,0.0,262.0,,,190.0,22.0,0.23529411764705882,0.13636363636363638,0.75,0.0,0.0,0.0,0.4,0.5769230769230769,0.0,0.0,0.0,0.0,0.0625,0.10273972602739727,0.0,0.5163893102046722,0.0,0.20217553396676133,0.0,0.03418691878092088,14.49,466,Do Not Contact,False,rep_visit,0.5092
12,Matthew,Moore,oncology,medium_value,TERR_25,Minneapolis,MN,cancer_center,2.3,False,Mixed,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,129.0,15.0,38.0,,,0.0,0.0,0.0,0.125,0.4411764705882353,0.5,0.0,0.0,0.0,0.23529411764705882,0.6666666666666666,0.0,0.25,0.18867924528301888,0.0,0.0,0.4098498314861517,0.0,0.18641089106781583,0.09091713057711578,13.11,476,phone_call,True,rep_visit,0.4913
13,Susan,Rogers,primary_care,high_value,TERR_01,Oakland,CA,private_practice,4.4,False,In-Person-Heavy,11.0,9.0,4.0,2.0,6.0,0.2727272727272727,0.3333333333333333,0.0,0.5,0.16666666666666666,29.0,14.0,142.0,35.0,23.0,0.11764705882352941,0.46153846153846145,0.5,0.25,0.1744186046511628,0.0,0.6,0.5660377358490566,0.16666666666666666,0.5294117647058824,0.6818181818181818,0.3333333333333333,0.6875,0.5084745762711864,0.2727272727272727,0.41251831443772174,0.08797681237980015,0.33916905042159123,0.44598104293895685,0.40763134841551835,34.81,109,email,True,rep_visit,0.3549
14,Christopher,Davis,cardiology,low_value,TERR_35,Tucson,AZ,private_practice,1.0,False,In-Person-Heavy,0.0,3.0,5.0,6.0,2.0,0.0,0.0,0.0,0.3333333333333333,0.0,,15.0,52.0,11.0,234.0,0.35294117647058826,0.7317073170731707,0.3333333333333333,0.3125,0.36585365853658536,0.0,0.2,0.11363636363636363,0.0,0.17647058823529413,0.6666666666666666,0.0,0.0,0.0,0.0,0.41955130360464543,0.14045130275377116,0.06504158531752637,0.17417219482230967,0.0,15.13,460,rep_visit,True,rep_visit,0.6159
15,Melanie,Munoz,cardiology,low_value,TERR_48,Nashville,TN,private_practice,0.5,False,Digital-Heavy,0.0,2.0,4.0,11.0,1.0,0.0,0.0,0.0,0.09090909090909091,0.0,,60.0,157.0,44.0,163.0,0.6470588235294118,0.4054054054054054,0.09090909090909091,0.25,0.16042780748663102,0.0,0.1,0.15544041450777202,0.0,0.11764705882352941,0.3333333333333333,0.0,0.0,0.0,0.0,0.27146455902009764,0.08509213163089116,0.052855134777260004,0.09320544553390792,0.0,9.5,493,rep_visit,True,rep_visit,0.4996
16,Lindsay,Blair,dermatology,high_value,TERR_27,Sacramento,CA,clinic,4.4,False,Digital-Heavy,0.0,2.0,9.0,13.0,3.0,0.0,0.0,0.6666666666666666,0.6153846153846154,0.0,,130.0,57.0,2.0,74.0,0.7647058823529411,0.9375,0.6153846153846154,0.5625,0.3448275862068966,0.6666666666666666,0.3,0.28846153846153844,0.0,0.11764705882352941,0.1875,0.0,0.0,0.0,0.0,0.7128671648040831,0.5786358552192353,0.1218935506007412,0.06313692232764113,0.0,27.23,261,rep_visit,True,rep_visit,0.3731
17,Amanda,Dudley,primary_care,medium_value,TERR_14,Colorado Springs,CO,private_practice,1.6,False,Digital-Heavy,1.0,3.0,5.0,2.0,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,165.0,106.0,14.0,112.0,263.0,0.11764705882352941,0.2112676056338028,1.0,0.3125,0.6818181818181818,0.0,0.1,0.10238907849829351,1.0,0.17647058823529413,0.22058823529411764,0.3333333333333333,0.0625,0.15384615384615385,0.0,0.6537954308074571,0.20559818230108345,0.6276747943692003,0.27745055677688646,0.04472425462680212,34.19,126,rep_visit,True,rep_visit,0.622
18,Nicholas,Arnold,cardiology,medium_value,TERR_42,Fort Worth,TX,hospital,3.9,False,Digital-Heavy,2.0,5.0,8.0,9.0,3.0,0.0,0.2,0.5,0.8888888888888888,0.6666666666666666,51.0,59.0,31.0,17.0,36.0,0.5294117647058824,0.6382978723404256,0.8888888888888888,0.5,0.49180327868852464,0.5,0.3,0.45454545454545453,0.6666666666666666,0.29411764705882354,0.33707865168539325,0.2,0.125,0.37037037037037035,0.0,0.7624289582452144,0.49830996590878124,0.5466427596484414,0.24784536052505685,0.1023717329026957,40.77,31,rep_visit,True,rep_visit,0.6437
19,Maria,Montgomery,cardiology,low_value,TERR_30,Mesa,AZ,private_practice,2.9,False,In-Person-Heavy,5.0,1.0,5.0,3.0,3.0,0.2,1.0,0.0,0.6666666666666666,0.0,31.0,121.0,18.0,88.0,108.0,0.17647058823529413,0.2542372881355932,0.6666666666666666,0.3125,0.625,0.0,0.3,0.2173913043478261,0.0,0.058823529411764705,0.19867549668874174,1.0,0.3125,0.49180327868852464,0.2,0.47964112667505215,0.1938831732596808,0.10723999414092653,0.6389604411674566,0.28357172021691784,34.37,121,email,True,rep_visit,0.4257
